,Norm,p,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
178,Neither,10,5e-05,0.00558,0.24631,4.70971,0.0,461.1758,59.05247,59.63676,34.02328,0.0,,,,,,,,,,
179,Both,10,638.23047,6.52403,69.05363,1.72596,0.0,55.97629,0.95267,32.2393,2.99496,0.0,,,,,,,,,,
180,Defector,12,4.28643,0.23103,0.0,14.08125,0.38004,0.0,14.79855,1.58508,0.0,23.73661,12.42379,0.0,,,,,,,,
181,Loner,12,150.86115,7.30293,0.0,21.63038,22.36938,0.0,36.60972,14.70886,0.0,33.50168,21.74905,0.0,,,,,,,,
182,Neither,12,4e-05,0.00381,0.0,0.18814,3.59175,0.0,349.19954,46.67028,0.0,47.71787,28.93712,0.0,,,,,,,,
183,Both,12,314.83498,3.1367,0.0,37.10217,0.90316,0.0,32.57438,1.19512,0.0,28.17948,6.9042,0.0,,,,,,,,
184,Defector,14,27.09588,9.65376,0.0,34.46114,0.0,14.35816,0.0,245.46586,26.20852,0.0,42.36335,0.0,18.96358,0.0,,,,,,
185,Loner,14,106.32257,5.56274,0.0,17.75211,0.0,16.07936,0.0,31.24413,14.32636,0.0,27.4884,0.0,20.24864,0.0,,,,,,
186,Neither,14,9e-05,0.00653,0.0,0.31085,0.0,5.98398,0.0,578.80938,59.18831,0.0,55.22028,0.0,29.894,0.0,,,,,,
187,Both,14,669.25634,6.85685,0.0,75.53571,0.0,1.85882,0.0,61.86914,0.96823,0.0,33.8038,0.0,2.48416,0.0,,,,,,
188,Defector,16,12.05319,0.0,1.32439,0.0,26.31805,0.0,1.45843,0.0,8.75628,0.0,1.8567,0.0,16.17545,0.0,11.41654,0.0,,,,
189,Loner,16,36.18348,0.0,0.86935,0.0,2.28647,0.0,2.71642,0.0,14.27861,0.0,23.81408,0.0,23.73828,0.0,17.11851,0.0,,,,
190,Neither,16,7e-05,0.0,0.0046,0.0,0.21176,0.0,3.99474,0.0,393.77895,0.0,51.99179,0.0,50.52016,0.0,31.12033,0.0,,,,
191,Both,16,467.6966,0.0,4.74553,0.0,55.43242,0.0,1.33421,0.0,47.02213,0.0,1.12961,0.0,30.61595,0.0,4.95239,0.0,,,,
